Cancer.type,Cor_OLS,Cor_OLS_TopN,Cor_Var_Weight,Cor_Var_Weight_TopN,Cor_Monte_Weight,Cor_Monte_Weight_TopN
LUAD,0.8137685494923482,0.759718508161664,0.8132941569291157,0.7597349626381371,0.781622347686402,0.7613034259358384
KIRC,0.7220964825034515,0.7528812691033991,0.7597174176571908,0.7482346730727075,0.7695469955582885,0.752733151651021
HNSC,0.5947961239362868,0.6216951687687131,0.6079341233138125,0.6340669665617976,0.5554482800438307,0.6242837536856154
UCS,0.7836892983650079,0.7530789390685937,0.7602106574789446,0.7306633735119529,0.7417786234689298,0.7582573391335049
LGG,0.4803569262853457,0.6585881699742279,0.5218926021976141,0.65444363239098,0.5195045583659306,0.6598867095974045
THCA,0.8907686311792511,0.8972602992895014,0.9104341975742121,0.8971531715699248,0.9284497508314711,0.8980435658330815
LUSC,0.7008768959915642,0.734018235117616,0.7228895387738093,0.7497636138336387,0.6816855625923791,0.7348752492139022
BRCA,0.8219109161448065,0.8163565723189845,0.8348428641483763,0.8149487245429377,0.8250859879072237,0.8172121293893044
PRAD,0.6708187982908134,0.7948050226118883,0.7522170094199656,0.7931242575780566,0.7404977462847492,0.7950835541108622
BLCA,0.8814972955441525,0.8603870368503024,0.8836964322901807,0.8574329373672545,0.8595669998443074,0.8606887224941251
ACC,0.8389557706723333,0.9040813144668376,0.8892584687767452,0.9065189853709139,0.9092725800356339,0.9035601398163469
SKCM,0.8222439419089175,0.8476318179900446,0.8467974677521823,0.8557771251636371,0.8244658708300425,0.8498394173787415
GBM,0.9067602423204271,0.9330378457388395,0.9195624691546765,0.9298103886226766,0.9150295455692986,0.9337760362366266
LIHC,0.8138104555516393,0.8214809907681845,0.8381473367177974,0.8198400091811102,0.7949451387555164,0.8231295633385554
CESC,0.7808393580969174,0.7616890934087235,0.7853180864393161,0.7666403730151697,0.7734683524623193,0.7623120896551289
UCEC,0.6957806017132027,0.7459842934722041,0.7263763983551879,0.75752507818944,0.7341480012400146,0.7480617096613048
READ,0.7734027167572833,0.7244654129505192,0.7713779669543975,0.7161896046435946,0.7615171875043124,0.7218560196568069
KIRP,0.7734673485124433,0.8278160199525023,0.8248522869116759,0.8234893347759558,0.8400797145021364,0.8273251432048667
COAD,0.7007459244187889,0.6800218721909629,0.6928627834132312,0.677845218191912,0.698276889929888,0.6804257487931822
KICH,0.6691412409645136,0.8289348652558833,0.8125394483464702,0.8115569627399917,0.853570361906798,0.8271042194038808
