,ABSOLUTE,ESTIMATE,LUMP,CPE,n_samples
SKCM,,0.8792377715835904,0.879737039773691,0.894459067520421,328.0
READ,0.6818063129713993,0.7105136944816314,0.7338576106813511,0.8264690442532407,69.0
LUAD,0.7992788541604718,0.777030133081423,0.907321134035766,0.8849421623392522,331.0
BRCA,0.7394782050200125,0.7590021798750279,0.9454157734649279,0.8511735458542431,550.0
COAD,0.7266295715655676,0.6886672333585723,0.6397936185072647,0.7741902236908126,216.0
GBM,0.7359717942509976,0.8366227777992171,0.8905753400554844,0.8557111521163917,99.0
PRAD,,0.7408044172939993,0.9019050014964671,0.510850741985336,349.0
THCA,,0.8773750850410698,0.961555315824763,0.8989870199517622,352.0
LGG,,0.7708361824750577,0.8828292469872847,0.8144908338035346,364.0
KIRP,,0.8600484288766321,0.9381110859420969,0.7787472607355246,192.0
HNSC,0.6859247783201007,0.7210748034347447,0.6304107213809831,0.7799257559124393,370.0
KIRC,0.7368633167190026,0.7206864578066361,0.871785463506741,0.8631801577315021,227.0
LUSC,0.7199052490365575,0.762041920320132,0.7843219045834902,0.8202384922392093,259.0
LIHC,,0.8305360357263939,0.7951799012480067,0.7529381816049582,262.0
CESC,,0.721165608668774,0.7223875125225498,0.6436586772947233,214.0
BLCA,0.7174407377053204,0.8386615665172886,0.762108839201456,0.7527453128560557,290.0
KICH,,0.7946900714121595,0.7730940710981404,0.8325531438135814,46.0
UCEC,0.650136197325352,0.792381419898934,0.7685004695121308,0.7304194213372803,307.0
ACC,,0.820897824377001,0.8795000397578306,0.8617133410109806,56.0
UCS,,0.2799582872175371,0.7578132074756795,0.4759648687259299,40.0
OV,,,0.9299479602823391,0.9486560711469948,7.0
